source_file,label,point_count,geometry_type,method,status,error,mesh_path,bbox_volume,density,mean_nn_distance,linearity,planarity,sphericity,curvature,normal_consistency,connected_components,largest_component_ratio,mesh_vertices,mesh_triangles,mean_cloud_to_mesh,p95_cloud_to_mesh,max_cloud_to_mesh,accuracy_ratio,mesh_components
valve_0001_lidar_classes.ply,0,275,tube,poisson,ok,,outputs_poisson_50/valve_0001_lidar_classes/label_00_poisson.ply,0.2287447547711814,1202.2133590564242,0.041951294468155,0.8060900217085244,0.17939693122650843,0.014513047064967187,0.012009906101124101,0.8882458147656579,1,1.0,1536,2989,1.2869767174699571,2.6462795802510444,8.51459852461485,0.9272727272727272,1
valve_0001_lidar_classes.ply,1,135,complex,poisson,ok,,outputs_poisson_50/valve_0001_lidar_classes/label_01_poisson.ply,2.1335845534800795,63.273798912633744,0.1343090173122809,0.4901123809151749,0.34874424243863766,0.16114337664618747,0.09643350545732597,0.8001797711800183,1,1.0,3599,6962,0.6713295864177015,1.475877067675459,3.614136758169445,0.9111111111111111,14
valve_0001_lidar_classes.ply,3,558,complex,poisson,ok,,outputs_poisson_50/valve_0001_lidar_classes/label_03_poisson.ply,0.9355922689371811,596.4136499694249,0.034549246020979044,0.936545955649838,0.015862699939790836,0.047591344410371134,0.042834743649369164,0.9687533375835452,1,1.0,2915,5674,2.004818019236557,4.3643875080841354,5.100236047961338,0.9032258064516129,1
valve_0001_lidar_classes.ply,5,928,complex,poisson,ok,,outputs_poisson_50/valve_0001_lidar_classes/label_05_poisson.ply,2.7402167600707763,338.659340210747,0.05981128622062583,0.1437927202377455,0.5664119446477328,0.28979533511452166,0.13503960018760824,0.9816004834146659,1,1.0,3869,7517,0.995812506944266,1.9696657379588418,2.868254418216072,0.9450431034482759,1
valve_0001_lidar_classes.ply,6,621,complex,poisson,ok,,outputs_poisson_50/valve_0001_lidar_classes/label_06_poisson.ply,2.3685042222276036,262.1907928945733,0.07304010304925748,0.08928361473939891,0.6759692018666547,0.23474718339394637,0.10941559988415925,0.9827024640355805,1,1.0,4017,7720,0.9845875008865876,2.2964539866470632,3.1396837479440864,0.9082125603864735,2
valve_0001_lidar_classes.ply,7,364,tube,poisson,ok,,outputs_poisson_50/valve_0001_lidar_classes/label_07_poisson.ply,2.271418569311175,160.25227798960267,0.07505514872873019,0.5815872162374608,0.25786898776657435,0.1605437959959649,0.10167714429520254,0.984487937675961,2,0.5769230769230769,3412,6442,0.8801356835975598,1.8945072686076498,2.6903973874544103,0.9175824175824175,5
valve_0001_lidar_classes.ply,8,573,sphere,poisson,ok,,outputs_poisson_50/valve_0001_lidar_classes/label_08_poisson.ply,2.362902221753017,242.4983965586592,0.0629223558759547,0.40937177692835974,0.36880439588861913,0.22182382718302115,0.12238879762466183,0.9827176616381839,2,0.643979057591623,3714,7084,0.9533930012301737,1.888337683324584,3.269077950410799,0.9476439790575916,1
valve_0001_lidar_classes.ply,9,2839,sphere,poisson,ok,,outputs_poisson_50/valve_0001_lidar_classes/label_09_poisson.ply,2.2607892450614884,1255.756150734336,0.03259040504865185,0.22759324529827896,0.2128912426955863,0.5595155120061347,0.23993746275086753,0.9901889114959848,1,1.0,6571,12973,1.525691279017806,2.9857620164937324,4.950258141538153,0.9510390982740402,3
valve_0002_lidar_classes.ply,0,792,complex,poisson,ok,,outputs_poisson_50/valve_0002_lidar_classes/label_00_poisson.ply,0.3312990064807349,2390.589722598685,0.03723414998513494,0.8993869016678178,0.09065686375083487,0.00995623458134745,0.008964982452043501,0.8801083687966987,3,0.9974747474747475,3229,6303,1.899301778578746,8.33998898303833,10.26287728858811,0.8674242424242424,1
valve_0002_lidar_classes.ply,1,129,sphere,poisson,ok,,outputs_poisson_50/valve_0002_lidar_classes/label_01_poisson.ply,0.9817954129192502,131.39193593951927,0.0988001976703871,0.34813551154125877,0.4238430003030187,0.2280214881557226,0.12129538226907384,0.8807517679551221,1,1.0,3083,5901,0.7574527629480304,2.059894574469132,4.720630196583566,0.8914728682170543,14
