source_file,label,point_count,geometry_type,method,status,error,mesh_path,bbox_volume,density,mean_nn_distance,linearity,planarity,sphericity,curvature,normal_consistency,connected_components,largest_component_ratio,mesh_vertices,mesh_triangles,mean_cloud_to_mesh,p95_cloud_to_mesh,max_cloud_to_mesh,accuracy_ratio,mesh_components
valve_0020_lidar_classes.ply,0,673,complex,poisson,ok,,/home/asudakov/projects/sharaga/dyachenko_cv/part_2/task_2/outputs/valve_0020_lidar_classes/label_00_poisson.ply,0.40801697508150714,1649.4411779450077,0.041714642669894365,0.9012900777753687,0.08438403746402945,0.01432588476060172,0.012871000798621912,0.8077205647587794,1,1.0,2482,4794,2.4320495149356556,8.173939882719193,9.272827667044227,0.8023774145616642,6
valve_0020_lidar_classes.ply,1,151,complex,poisson,ok,,/home/asudakov/projects/sharaga/dyachenko_cv/part_2/task_2/outputs/valve_0020_lidar_classes/label_01_poisson.ply,2.0261251289981925,74.52649287986532,0.11949790067946599,0.4879609523696685,0.3694151998997327,0.14262384773059875,0.08619510846013644,0.8611048140702311,1,1.0,3646,7046,0.7485260281969269,1.7778230133693074,5.782801602590351,0.9139072847682119,17
valve_0020_lidar_classes.ply,2,85,complex,poisson,ok,,/home/asudakov/projects/sharaga/dyachenko_cv/part_2/task_2/outputs/valve_0020_lidar_classes/label_02_poisson.ply,2.757940512367991,30.820099135139895,0.18856251877280486,0.0978942749860663,0.6538779012738233,0.24822782374011035,0.11543689298059813,0.877783370651151,1,1.0,2630,5019,0.29265615311308774,0.49260951982223944,1.6270423291137013,0.9411764705882353,27
valve_0020_lidar_classes.ply,3,633,complex,poisson,ok,,/home/asudakov/projects/sharaga/dyachenko_cv/part_2/task_2/outputs/valve_0020_lidar_classes/label_03_poisson.ply,1.1835000581523691,534.8542196003042,0.032024632709183876,0.9268925843105004,0.01758352872541524,0.05552388696408434,0.04919577087179775,0.9471497523886124,1,1.0,3198,6206,2.115834449432063,4.049883519036357,5.052394384672318,0.9589257503949447,12
valve_0020_lidar_classes.ply,5,989,sphere,poisson,ok,,/home/asudakov/projects/sharaga/dyachenko_cv/part_2/task_2/outputs/valve_0020_lidar_classes/label_05_poisson.ply,2.570824259780238,384.70151984816835,0.05692252721123454,0.2725604316857088,0.440672749910304,0.28676681840398727,0.14237211255754825,0.9815201136511906,1,1.0,3864,7521,1.0417108348689146,2.055488256787744,3.6336291432801673,0.9413549039433772,1
valve_0020_lidar_classes.ply,6,631,sphere,poisson,ok,,/home/asudakov/projects/sharaga/dyachenko_cv/part_2/task_2/outputs/valve_0020_lidar_classes/label_06_poisson.ply,2.2794519893341847,276.8209214111641,0.07393955471820589,0.28972998930822585,0.5259671666993471,0.18430284399242708,0.0972793648640911,0.9793708026537408,1,1.0,4059,7808,1.1533432198013929,2.3341821744766507,4.153479069845,0.9397781299524565,3
valve_0020_lidar_classes.ply,7,368,tube,ball_pivoting,ok,,/home/asudakov/projects/sharaga/dyachenko_cv/part_2/task_2/outputs/valve_0020_lidar_classes/label_07_ball_pivoting.ply,1.9878633333921922,185.12339043551142,0.07488715751639927,0.6442511748616809,0.20739685797265994,0.1483519671656591,0.098631666125522,0.9811156467476259,1,1.0,323,583,1.1366303829436109,3.126492254944045,3.4282521543379105,0.8641304347826086,1
valve_0020_lidar_classes.ply,8,545,tube,ball_pivoting,ok,,/home/asudakov/projects/sharaga/dyachenko_cv/part_2/task_2/outputs/valve_0020_lidar_classes/label_08_ball_pivoting.ply,1.8377879745644812,296.5521635482211,0.0562968936514528,0.580618717180637,0.2068625040530531,0.21251877876630992,0.1302278146615248,0.9820922864822493,1,1.0,534,993,0.9146769529350247,1.9907187886273836,3.2279857779526613,0.9284403669724771,1
valve_0020_lidar_classes.ply,9,2496,sphere,poisson,ok,,/home/asudakov/projects/sharaga/dyachenko_cv/part_2/task_2/outputs/valve_0020_lidar_classes/label_09_poisson.ply,2.085910571410254,1196.5997172699933,0.032586564426189873,0.14186042500517104,0.31465376393796707,0.5434858110568619,0.2262991614817834,0.9906669189376252,1,1.0,6637,13097,1.5205599355001949,3.023073255469117,5.171543808748846,0.9491185897435898,1
valve_0021_lidar_classes.ply,0,697,tube,ball_pivoting,ok,,/home/asudakov/projects/sharaga/dyachenko_cv/part_2/task_2/outputs/valve_0021_lidar_classes/label_00_ball_pivoting.ply,0.5486806512363244,1270.319991108621,0.05003348779436235,0.7755691861481753,0.1974428641747883,0.02698794967703648,0.02156588223188653,0.8164188036012575,1,1.0,646,1111,0.9201747079893279,2.624950250611236,5.626000828560388,0.8895265423242468,5
valve_0021_lidar_classes.ply,1,168,tube,ball_pivoting,ok,,/home/asudakov/projects/sharaga/dyachenko_cv/part_2/task_2/outputs/valve_0021_lidar_classes/label_01_ball_pivoting.ply,1.2106853424710513,138.76437923755324,0.09029863869368178,0.5903513626023756,0.2858374365651634,0.12381120083246097,0.08073977403631481,0.8602434725498476,1,1.0,159,265,0.9867328223672042,2.3055120966191365,5.48064880707079,0.8809523809523809,1
